week,cbd_mean,bbd_mean,tcd_mean
18.5,35,42,17
20.5,41,47,21
22.5,44,50,22
24.5,50,60,27
26.5,55,63,30
28.5,62,72,32
30.5,68,74,38
32.5,75,81,42
34.5,78,85,44
37.0,90,94,48
