epoch,binary_accuracy,loss,val_binary_accuracy,val_loss,val_vod_coefficient,vod_coefficient
0,0.9811233825683594,-0.9396035180091858,0.9838120346069336,-0.9594564903577169,0.922086724281311,0.8863749365806579
1,0.9815262247721355,-0.9403845361073812,0.9836387557983398,-0.9593286735216776,0.9218534278869629,0.887882453918457
2,0.9813530578613281,-0.9408051120440165,0.9836313959757487,-0.959290545463562,0.9217812795639038,0.8885762321154277
3,0.9819380416870117,-0.9416511662801107,0.9837020848592123,-0.9593545201619467,0.9218995458285014,0.8899929898579916
4,0.9818164291381836,-0.941772837638855,0.9836410624186198,-0.9589478098551433,0.9211500172615051,0.8902049821217854
5,0.981955078125,-0.9411260805130005,0.9834628397623698,-0.9594854318300883,0.9221381324132284,0.8890801855723063
6,0.9817443593343099,-0.941856965859731,0.9835811996459961,-0.9594087734222412,0.9219999539057414,0.8903634119033813
7,0.9818461736043295,-0.9410696166356405,0.983457145690918,-0.9594057052930196,0.9219934698740642,0.8890124739011128
8,0.981865379333496,-0.9415386465390523,0.9835632781982422,-0.9591405561765035,0.921506858030955,0.889790874640147
9,0.9816519190470377,-0.9419460647900899,0.9836600087483724,-0.9594706937472025,0.9221127220789591,0.8905266524950664
10,0.9825552724202474,-0.9413867014249165,0.9834250691731771,-0.9590649669965108,0.9213646155993144,0.8895120601654053
11,0.9822448272705078,-0.9420388797124227,0.9835181833902995,-0.9592269957860311,0.9216647717158,0.8906702577273051
12,0.9820928522745769,-0.9416958578427632,0.9835053939819336,-0.9592668312390645,0.9217374493281046,0.8900772992769878
13,0.98237291208903,-0.9417004275321961,0.9836181437174479,-0.9592420439720154,0.921692554473877,0.890098969300588
14,0.9809813944498698,-0.9411956278483072,0.9836470514933269,-0.9594446229934692,0.9220668032964071,0.8891920965512593
15,0.9820498046875,-0.9414606815973917,0.9835042800903321,-0.9590969521204631,0.921424177646637,0.8896786390940349
16,0.9818292744954427,-0.9416337202390035,0.9835889383951822,-0.9590234541893006,0.9212900301615398,0.8899738602638244
17,0.9821303660074869,-0.9419051750500997,0.9834818267822265,-0.9589912802378336,0.9212294022242228,0.890440947373708
18,0.9820969009399414,-0.9423620971043905,0.9835747553507487,-0.9590768823623658,0.9213861592610677,0.8912570341428121
19,0.982330546061198,-0.9420781024297078,0.9834294509887695,-0.9593260828653971,0.9218472061157227,0.890753442923228
20,0.9818437525431315,-0.9401951901117961,0.983553581237793,-0.9593077883720398,0.9218131941159566,0.8875112698872885
21,0.9819480234781901,-0.9414265311559041,0.9835352478027344,-0.9591059919993082,0.9214396260579427,0.8896283000310262
22,0.9821225255330404,-0.9415160142580669,0.9834456685384114,-0.9591347535451253,0.9214934280713399,0.8897901852925618
23,0.9815740076700846,-0.9417460700670878,0.9836578826904296,-0.9593479663530986,0.9218886408805848,0.8901304241816203
24,0.981636858622233,-0.9418764878908793,0.9833928527832031,-0.9591699684460958,0.9215576968193054,0.8904340402285258
25,0.9815216903686523,-0.9417469228108724,0.9836525802612305,-0.9593790089289347,0.9219445287386576,0.8902204027175903
26,0.9820462824503581,-0.9414577166239421,0.9834161605834961,-0.9592306645711263,0.9216701242129008,0.8896661917368571
27,0.9818541056315104,-0.9420166110992432,0.983600575764974,-0.9590876955986023,0.921407057762146,0.8906556043624878
28,0.9821772410074869,-0.9418612093925476,0.9836938832600911,-0.9589597376187643,0.9211716621716817,0.8904249984423319
29,0.9820631408691406,-0.941192511399587,0.9835885518391927,-0.9593569566408793,0.9219021056493123,0.8892096405029297
30,0.9822173283894857,-0.941197035630544,0.9835732828776041,-0.9592726724942525,0.9217479192415873,0.8891721720695496
